$\Phi$
x	y	$\Phi$
32.375	0.00785398163397448	-57.696205618179
32.625	0.00785398163397448	-50.8640956567902
32.875	0.00785398163397448	-44.8409482138975
33.125	0.00785398163397448	-39.530985524908
33.375	0.00785398163397448	-34.8497684436901
33.625	0.00785398163397448	-30.7228542641033
33.875	0.00785398163397448	-27.0846133998529
34.125	0.00785398163397448	-23.8771861228885
34.375	0.00785398163397448	-21.0495627850526
34.625	0.00785398163397448	-18.5567729090173
34.875	0.00785398163397448	-16.3591702638277
35.125	0.00785398163397448	-14.4218025650602
35.375	0.00785398163397448	-12.7138557839034
35.625	0.00785398163397448	-11.2081642347064
35.875	0.00785398163397448	-9.88077865554861
36.125	0.00785398163397448	-8.71058541773847
36.375	0.00785398163397448	-7.67897081248631
36.625	0.00785398163397448	-6.76952507920758
