$\Phi$_gauss_grad
x	y	$\Phi$_gauss_grad_x	$\Phi$_gauss_grad_y
8.625	0.00785398163397448	4533405.76309329	-1148166431.24041
8.875	0.00785398163397448	4000806.92247599	-1012814991.9095
9.125	0.00785398163397448	3530355.13478863	-893376308.310333
9.375	0.00785398163397448	3114917.20752482	-787990654.640927
9.625	0.00785398163397448	2748143.8394104	-695012577.109837
9.875	0.00785398163397448	2424394.16708289	-612987106.453951
10.125	0.00785398163397448	2138664.10166438	-540628336.286382
10.375	0.00785398163397448	1886519.56050682	-476800220.424789
10.625	0.00785398163397448	1664035.09441147	-420499419.491163
10.875	0.00785398163397448	1467738.02247742	-370840019.207141
11.125	0.00785398163397448	1294557.94529766	-327039944.391833
11.375	0.00785398163397448	1141781.36421877	-288408899.971008
11.625	0.00785398163397448	1007011.05671617	-254337680.841009
11.875	0.00785398163397448	888129.823007552	-224288704.561669
12.125	0.00785398163397448	783268.211475558	-197787633.52293
12.375	0.00785398163397448	690775.839926801	-174415965.774581
12.625	0.00785398163397448	609195.949228804	-153804485.725634
12.875	0.00785398163397448	537242.850832534	-135627477.182748
13.125	0.00785398163397448	473781.957094685	-119597611.594311
13.375	0.00785398163397448	417812.111231995	-105461433.861315
13.625	0.00785398163397448	368449.960973694	-92995376.677641
13.875	0.00785398163397448	324916.145818882	-82002242.1087829
14.125	0.00785398163397448	286523.091870694	-72308096.0632399
14.375	0.00785398163397448	252664.230337218	-63759527.5163409
14.625	0.00785398163397448	222804.475924574	-56221229.8764404
14.875	0.00785398163397448	196471.819549796	-49573866.8015988
15.125	0.00785398163397448	173249.906168306	-43712189.1418839
15.375	0.00785398163397448	152771.483169742	-38543373.5551755
15.625	0.00785398163397448	134712.617883445	-33985556.7753994
15.875	0.00785398163397448	118787.594392172	-29966542.549471
16.125	0.00785398163397448	104744.410216748	-26422660.9463832
16.375	0.00785398163397448	92360.8026347827	-23297762.1180025
16.625	0.00785398163397448	81440.7425549353	-20542328.6914294
16.875	0.00785398163397448	71811.3410959347	-18112692.8286108
17.125	0.00785398163397448	63320.1204178673	-15970345.6283022
17.375	0.00785398163397448	55832.6060141848	-14081327.9933772
17.625	0.00785398163397448	49230.2026789877	-12415693.3650138
17.875	0.00785398163397448	43408.3207894633	-10947033.8540876
18.125	0.00785398163397448	38274.7234540402	-9652062.29658162
18.375	0.00785398163397448	33748.0685317981	-8510243.63939709
18.625	0.00785398163397448	29756.622580397	-7503469.83926002
18.875	0.00785398163397448	26237.1264848289	-6615773.14253457
19.125	0.00785398163397448	23133.79489901	-5833073.21834754
19.375	0.00785398163397448	20397.4337331896	-5142954.15092656
19.625	0.00785398163397448	17984.6617748221	-4534467.76779731
19.875	0.00785398163397448	15857.2241676699	-3997960.19583006
20.125	0.00785398163397448	13981.3869188137	-3524918.90357802
20.375	0.00785398163397448	12327.4028784917	-3107837.8116541
20.625	0.00785398163397448	10869.0407630607	-2740098.33811386
20.875	0.00785398163397448	9583.16978442602	-2415864.49743458
21.125	0.00785398163397448	8449.39332559644	-2129990.39365068
21.375	0.00785398163397448	7449.72587519665	-1877938.64401336
21.625	0.00785398163397448	6568.30811596534	-1655708.44226903
21.875	0.00785398163397448	5791.15566416042	-1459772.12301072
22.125	0.00785398163397448	5105.93748780376	-1287019.22294997
22.375	0.00785398163397448	4501.78050016948	-1134707.15349902
22.625	0.00785398163397448	3969.09723819794	-1000417.70361158
22.875	0.00785398163397448	3499.43390010037	-882018.684053998
23.125	0.00785398163397448	3085.33633803296	-777630.105619685
23.375	0.00785398163397448	2720.2318854185	-685594.35554235
23.625	0.00785398163397448	2398.32514874799	-604449.899638654
23.875	0.00785398163397448	2114.50611443577	-532908.093517472
24.125	0.00785398163397448	1864.26911601138	-469832.735411683
24.375	0.00785398163397448	1643.64137867414	-414222.036596172
24.625	0.00785398163397448	1449.12000971503	-365192.723638528
24.875	0.00785398163397448	1277.61643692155	-321966.020490993
25.125	0.00785398163397448	1126.4074149208	-283855.288207342
25.375	0.00785398163397448	993.091823352866	-250255.126326937
25.625	0.00785398163397448	875.552572433189	-220631.763125254
